"['tt0054215', ""['Drama', 'Horror', 'Thriller']"", 'Psycho', '1960-06-16', '8.3']","['Anthony Perkins', 'John Gavin', 'Alfred Hitchcock']"
"['tt0054244', ""['Drama', 'Thriller']"", 'Suspect', '1960-01-01', '7.2']","['Tony Britton', 'Ian Bannen', 'Peter Cushing']"
"['tt0054248', ""['Crime', 'Drama', 'Thriller']"", 'Rocco e i suoi fratelli', '1960-10-06', '7.7']","['Alain Delon', 'Renato Salvatori']"
"['tt0054331', ""['Action', 'Drama', 'History']"", 'Spartacus', '1960-10-06', '7.3']","['Kirk Douglas', 'Laurence Olivier', 'Charles Laughton', 'Dalton Trumbo', 'Peter Ustinov']"
"['tt0054357', ""['Adventure', 'Family']"", 'Swiss Family Robinson', '1960-12-21', '7.0']","['John Mills', 'James MacArthur']"
"['tt0054367', ""['Comedy']"", 'Tall Story', '1960-04-06', '10.0']","['Anthony Perkins', 'Ray Walston', 'Marc Connelly', 'Howard Lindsay']"
"['tt0054371', ""['Mystery', 'Crime', 'Thriller']"", 'Die 1000 Augen des Dr. Mabuse', '1960-09-13', '7.1']","['Peter van Eyck', 'Gert Fröbe', 'Wolfgang Preiss', 'Heinz Oskar Wuttig', 'Artur Brauner']"
"['tt0054377', ""['Fantasy', 'Drama']"", ""Le Testament d'Orphée"", '1960-02-18', '7.8']","['Yul Brynner', 'Jean Cocteau', 'Charles Aznavour']"
"['tt0054387', ""['Thriller', 'Adventure', 'Fantasy', 'Science Fiction', 'Romance']"", 'The Time Machine', '1960-08-17', '7.5']","['Rod Taylor', 'Alan Young', 'Sebastian Cabot', 'H.G. Wells']"
"['tt0054389', ""['Drama', 'Thriller', 'Crime']"", 'Tirez sur le pianiste', '1960-10-21', '7.2']","['Raoul Coutard', 'Charles Aznavour', 'Pierre Braunberger']"
"['tt0054407', ""['Crime', 'Drama', 'Thriller']"", 'Le Trou', '1960-03-18', '8.2']","['Ghislain Cloquet', 'André Bervil', 'Jean Keraudy', 'Michel Constantin', 'Philippe Leroy', 'José Giovanni', 'Jean Aurel', 'Serge Silberman']"
"['tt0054412', ""['Drama']"", 'Tunes of Glory', '1960-08-16', '7.1']","['Alec Guinness', 'John Mills', 'Dennis Price', 'Colin Lesslie']"
"['tt0054442', ""['Comedy']"", 'Il vigile', '1960-01-01', '7.8']","['Alberto Sordi', 'Vittorio De Sica']"
"['tt0054443', ""['Horror', 'Science Fiction']"", 'Village of the Damned', '1960-11-05', '7.1']","['George Sanders', 'Michael Gwynn', 'Laurence Naismith']"
"['tt0054452', ""['Drama']"", 'La vérité', '1960-11-02', '7.7']","['Paul Meurisse', 'Charles Vanel', 'Sami Frey']"
"['tt0054460', ""['Crime', 'Drama', 'Thriller']"", '悪い奴ほどよく眠る', '1960-09-15', '7.7']","['Toshirô Mifune', 'Masayuki Mori', 'Tatsuya Mihashi']"
"['tt0054599', ""['Drama']"", 'Accattone', '1961-08-31', '7.8']","['Franco Citti', 'Pier Paolo Pasolini', 'Alfredo Bini', 'Tonino Delli Colli']"
"['tt0054614', ""['Drama', 'Music']"", 'All Night Long', '1962-02-06', '7.0']","['Patrick McGoohan', 'Keith Michell', 'Paul Harris', 'Paul Jarrico']"
"['tt0054632', ""['Drama', 'Romance']"", ""L'Année dernière à Marienbad"", '1961-05-25', '7.6']","['Giorgio Albertazzi', 'Sacha Pitoëff', 'Alain Robbe-Grillet']"
"['tt0054652', ""['Comedy', 'Romance']"", 'Bachelor in Paradise', '1961-11-01', '7.2']","['Bob Hope', 'Jim Hutton']"
"['tt0054678', ""['Adventure', 'Comedy', 'War']"", 'The Best of Enemies', '1961-10-26', '7.3']","['Luciano Vincenzoni', 'David Niven', 'Alberto Sordi', 'Amedeo Nazzari', 'Michael Wilding', 'Agenore Incrocci']"
"['tt0054687', ""['Action', 'Crime', 'Drama', 'Thriller']"", 'Blast of Silence', '1961-03-31', '7.4']","['Allen Baron', 'Peter Clune', 'Waldo Salt']"
"['tt0054697', ""['Crime', 'Drama']"", 'The Boys', '1962-08-31', '7.0']","['Richard Todd', 'Robert Morley', 'Dudley Sutton', 'Ronald Lacey', 'Stuart Douglass', 'The Shadows']"
"['tt0054698', ""['Comedy', 'Drama', 'Romance']"", ""Breakfast at Tiffany's"", '1961-10-05', '7.6']","['George Peppard', 'Buddy Ebsen', 'Truman Capote']"
