tt0054042,Drama,Fantasy,Mystery,Macario,1960-05-09,8.3,2197,"['GabrielFigueroa', 'cinematographer']","['IgnacioLópezTarso', 'actor']","['PinaPellicer', 'actress']","['EnriqueLucero', 'actor']","['MarioAlbertoRodríguez', 'actor']","['RobertoGavaldón', 'director']","['B.Traven', 'writer']","['EmilioCarballido', 'writer']","['ArmandoOriveAlba', 'producer']","['RaúlLavista', 'composer']"
tt0054047,Western,TheMagnificentSeven,1960-10-22,7.7,82382,"['WalterNewman', 'writer']","['YulBrynner', 'actor']","['SteveMcQueen', 'actor']","['CharlesBronson', 'actor']","['EliWallach', 'actor']","['JohnSturges', 'director']","['WilliamRoberts', 'writer']","['AkiraKurosawa', 'writer']","['WalterBernstein', 'writer']","['ShinobuHashimoto', 'writer']"
tt0054067,Horror,Lamascheradeldemonio,1960-08-11,7.2,12444,"['MarcelloCoscia', 'writer']","['BarbaraSteele', 'actress']","['JohnRichardson', 'actor']","['AndreaChecchi', 'actor']","['IvoGarrani', 'actor']","['MarioBava', 'director']","['EnnioDeConcini', 'writer']","['MarioSerandrei', 'writer']","['NikolayGogol', 'writer']","['GeorgeHiggins', 'writer']"
tt0054068,Comedy,Ilmattatore,1960-01-01,7.2,551,"['EttoreScola', 'writer']","['VittorioGassman', 'actor']","['DorianGray', 'actress']","['AnnaMariaFerrero', 'actress']","['MarioCarotenuto', 'actor']","['DinoRisi', 'director']","['AgenoreIncrocci', 'writer']","['FurioScarpelli', 'writer']","['SergioPugliese', 'writer']","['SandroContinenza', 'writer']"
tt0054073,Music,Drama,মেঘেঢাকাতারা,1960-12-31,7.9,2017,"['DinenGupta', 'cinematographer']","['SupriyaChoudhury', 'actress']","['AnilChatterjee', 'actor']","['GyaneshMukherjee', 'actor']","['BijonBhattacharya', 'actor']","['RitwikGhatak', 'director']","['SamiranDutta', 'writer']","['ShaktipadaRajguru', 'writer']","['RabindranathTagore', 'writer']","['JyotirindraMoitra', 'composer']"
tt0054095,Drama,War,TheMountainRoad,1960-06-15,6.3,664,"['BurnettGuffey', 'cinematographer']","['JamesStewart', 'actor']","['LisaLu', 'actress']","['GlennCorbett', 'actor']","['HarryMorgan', 'actor']","['DanielMann', 'director']","['AlfredHayes', 'writer']","['TheodoreH.White', 'writer']","['WilliamGoetz', 'producer']","['JeromeMoross', 'composer']"
tt0054098,Drama,Foreign,Romance,Mughal-e-Azam,1960-01-01,8.3,6482,"['Naushad', 'composer']","['PrithvirajKapoor', 'actor']","['Madhubala', 'actress']","['DilipKumar', 'actor']","['DurgaKhote', 'actress']","['K.Asif', 'director']","['Aman', 'writer']","['KamalAmrohi', 'writer']","['EhsanRizvi', 'writer']","['WajahatMirza', 'writer']"
tt0054115,Drama,Thriller,Crime,NeverLetGo,1960-01-01,7.1,987,"['RalphSheldon', 'editor']","['RichardTodd', 'actor']","['PeterSellers', 'actor']","['ElizabethSellars', 'actress']","['AdamFaith', 'actor']","['JohnGuillermin', 'director']","['PeterDeSarigny', 'writer']","['AlunFalconer', 'writer']","['JohnBarry', 'composer']","['ChristopherChallis', 'cinematographer']"
tt0054119,Romance,Drama,Music,Niewinniczarodzieje,1960-12-17,7.4,984,"['WieslawaOtocka', 'editor']","['TadeuszLomnicki', 'actor']","['KrystynaStypulkowska', 'actress']","['WandaKoczeska', 'actress']","['KalinaJedrusik', 'actress']","['AndrzejWajda', 'director']","['JerzyAndrzejewski', 'writer']","['JerzySkolimowski', 'writer']","['KrzysztofKomeda', 'composer']","['KrzysztofWiniewicz', 'cinematographer']"
tt0054130,Drama,Lanotte,1961-01-23,8.1,15844,"['GianniDiVenanzo', 'cinematographer']","['JeanneMoreau', 'actress']","['MarcelloMastroianni', 'actor']","['MonicaVitti', 'actress']","['BernhardWicki', 'actor']","['MichelangeloAntonioni', 'director']","['EnnioFlaiano', 'writer']","['ToninoGuerra', 'writer']","['EmanueleCassuto', 'producer']","['GiorgioGaslini', 'composer']"
tt0054144,Drama,女が階段を上る時,1960-01-15,8.1,3316,"['SatoruChûko', 'production_designer']","['HidekoTakamine', 'actress']","['TatsuyaNakadai', 'actor']","['MasayukiMori', 'actor']","['ReikoDan', 'actress']","['MikioNaruse', 'director']","['RyûzôKikushima', 'writer']","['ToshirôMayuzumi', 'composer']","['MasaoTamai', 'cinematographer']","['EijiOoi', 'editor']"
