tt0000014,['Comedy'],Arroseur et arrosé,1895-12-27,7.0,44,"['nconst', 'category']"
tt0010806,"['Comedy', 'Romance', 'Drama']",True Heart Susie,1919-06-01,7.0,8,"['nm0786810', 'actress']","['nm0001273', 'actress']","['nm0366008', 'actor']","['nm0383278', 'actor']","['nm0640421', 'actress']","['nm0000428', 'director']","['nm0294026', 'writer']","['nm0005658', 'cinematographer']","['nm0808571', 'editor']","['nm0269493', 'actor']"
tt0011237,"['Horror', 'Science Fiction', 'Thriller']","Der Golem, wie er in die Welt kam",1920-10-28,7.0,29,"['nm0006272', 'composer']","['nm0917467', 'actor']","['nm0826210', 'actor']","['nm0222074', 'actor']","['nm0758802', 'actress']","['nm0091380', 'director']","['nm0301961', 'writer']","['nm0203452', 'producer']","['nm0485134', 'composer']","['nm10670231', 'composer']"
tt0011293,['Comedy'],High and Dizzy,1920-07-11,8.5,2,"['nm0526517', 'cinematographer']","['nm0516001', 'actor']","['nm0205192', 'actress']","['nm0112234', 'actor']","['nm0397907', 'actor']","['nm0730018', 'director']","['nm0166671', 'writer']","['nm0907778', 'writer']","['nm1084708', 'producer']","['nm0004592', 'composer']"
tt0011521,['Comedy'],"Number, Please?",1920-12-26,7.4,5,"['nm0516001', 'actor']","['nm0205192', 'actress']","['nm0112234', 'actor']","['nm0112239', 'actor']","['nm0730018', 'director']","['nm0628345', 'director']","['nm0907778', 'writer']","['nm0004592', 'composer']","['nm0526517', 'cinematographer']"
tt0011541,['Comedy'],One Week,1920-09-01,7.8,39,"['nm0000036', 'actor']","['nm0781623', 'actress']","['nm0731247', 'actor']","['nm0166836', 'director']","['nm0110640', 'composer']"
tt0011656,['Comedy'],The Scarecrow,1920-12-22,7.4,17,"['nm0000036', 'actor']","['nm0166836', 'actor']","['nm1832937', 'actor']","['nm0444172', 'actor']","['nm0004592', 'composer']","['nm1977054', 'composer']"
tt0011833,[],Von morgens bis Mitternacht,1920-01-01,7.7,3,"['nm0222074', 'actor']","['nm0603803', 'actress']","['nm0046917', 'actress']","['nm0508985', 'actor']","['nm0552609', 'director']","['nm0433288', 'writer']","['nm0435150', 'writer']","['nm1818632', 'composer']","['nm0389155', 'cinematographer']"
tt0011865,"['Comedy', 'Drama', 'Romance']",Why Change Your Wife?,1920-05-21,7.5,2,"['nm0576762', 'actor']","['nm0841797', 'actress']","['nm0199841', 'actress']","['nm0467185', 'actor']","['nm0001124', 'director']","['nm0697880', 'writer']","['nm0210352', 'writer']","['nm0184632', 'writer']","['nm0005931', 'cinematographer']"
tt0011979,['Drama'],The Blot,1921-09-04,7.3,3,"['nm0421157', 'cinematographer']","['nm0399216', 'actor']","['nm0574739', 'actress']","['nm0934780', 'actress']","['nm0129894', 'actor']","['nm0916665', 'director']","['nm0651000', 'writer']","['nm0002206', 'producer']","['nm0318647', 'producer']","['nm0238844', 'cinematographer']"
tt0012027,"['Drama', 'Romance']",Camille,1921-09-26,7.3,3,"['nm0589105', 'actress']","['nm0884388', 'actor']","['nm0156124', 'actor']","['nm0398446', 'actor']","['nm0863193', 'actress']","['nm0806605', 'director']","['nm0241414', 'writer']","['nm0558923', 'writer']","['nm1320357', 'composer']","['nm0074991', 'cinematographer']"
tt0012224,['Comedy'],The Goat,1921-05-14,7.0,21,"['nm0000036', 'actor']","['nm0289295', 'actress']","['nm0731247', 'actor']","['nm0820461', 'actor']","['nm0770852', 'producer']","['nm0004592', 'composer']","['nm0504380', 'cinematographer']"
tt0012253,['Comedy'],Hard Luck,1921-03-14,7.3,15,"['nm0000036', 'actor']","['nm0289295', 'actress']","['nm0731247', 'actor']","['nm0598902', 'actor']","['nm0166836', 'director']","['nm0504380', 'cinematographer']"
tt0012278,"['Crime', 'Comedy']",The High Sign,1921-04-18,7.2,18,"['nm0000036', 'actor']","['nm0121938', 'actress']","['nm0233528', 'actor']","['nm4362661', 'actor']","['nm0166836', 'director']","['nm0731247', 'actor']","['nm0820607', 'actor']"
